,Flour (g),Sugar (g),Baking Powder (g),Salt (g),Milk (g),Butter (g),Egg (g),Vanilla Extract (g),Satisfaction Score
0,947.042476569985,475.91064103266245,31.295813097161023,1.471992117794156,478.3004013048982,67.88577224409246,121.38240257573993,15.29303791593412,0.6873447348690175
1,948.2857690985846,471.505213623859,18.631159971387508,3.4256591987099725,471.02651131675816,60.06962541469471,121.18030242300914,15.833052840880512,0.7171633947284975
2,945.1902664746742,472.5363292436023,25.975006976845947,0.030657277281695094,471.80528633301793,64.35382524915047,117.46686907153892,14.743626635739526,0.892798476732819
3,947.3689247358773,472.4668358135739,27.424722642023895,1.66859385175805,470.4949412960577,66.10982566257634,117.52495439930199,13.946904735746433,0.8010406391512306
4,947.0836475771482,469.5112134099264,29.66081818982172,3.970857263637171,472.0867437424647,70.12031038839467,117.95520389472036,16.736204965609765,0.44488462769431186
5,948.6713028859567,477.0932270399004,23.766819655932068,4.868203545480309,474.4958434835676,63.957716097385685,122.524662079689,12.917212655456144,0.8788845106704477
6,944.7342821261662,477.08102231144426,19.90325740650307,8.175342594550266,473.0658061130103,59.30859849713689,121.85568358233357,14.810574414878523,0.6646739845993648
7,948.7835416631593,470.05310072365216,26.663447346044812,1.20145505374796,475.3947385826403,70.2375457875499,120.54440930522912,15.207964990805277,0.5892505859181638
8,946.1707501862656,470.12405137169475,31.111699119591222,1.3248146465684485,474.8206319936725,68.19531653688698,118.12411908118393,14.61398201366408,0.5775716862032872
9,946.7708991210096,471.06491082375567,25.52412246703679,1.4371381582998117,475.16820440894014,64.37444367914561,121.08385153847307,15.870747586793021,0.8468449898965034
10,947.3885120340304,472.99671698835823,20.529009307923946,0.8926184343869425,473.31692506371587,63.22838498826455,120.43994902569453,13.268585691704962,0.8970677450901973
11,946.19402349828,473.31023586377864,23.120727725694422,7.198113913400555,474.3523591579418,64.41175148970802,121.69269946878428,17.652407262384834,0.724566807744272
12,947.0554295426907,470.9387548969129,26.799947920614123,1.6426106265502036,470.7430381969022,66.74643435872981,117.20202227792632,14.914896953437463,0.755668251563248
13,946.8248332021351,475.03489389726076,26.32255451462801,1.378452228127886,473.9481558284557,62.6397194654622,120.51637227303202,12.511312998501323,0.9376465135958703
14,944.4822760517345,473.0160474718732,26.47440918451481,1.7830909633297098,478.6410907044833,65.14967057735747,121.92639794918956,18.186485183655492,0.8050790170172047
15,948.15302799959,473.7312083115241,21.719636835084053,3.8172682804022715,473.55311501063085,60.5534271394935,122.53358876590175,14.301196882243719,0.825727421868164
16,946.8185337904908,475.83262978076544,24.3538932231916,2.4020712533928883,475.7876958329429,61.91124494019097,122.0158567215898,14.884468447988429,0.9366791765876222
17,944.4775080729228,471.5174381905312,24.879891425962775,5.276232411709631,473.3658515514594,66.96629399552155,119.20162150392301,16.056561988760805,0.7153257658513814
18,945.2008176195578,474.1255714321522,20.62123163861633,4.372900925772889,472.0266486700846,62.14180748064563,120.06949897815628,13.215651379154817,0.8401924979144907
19,947.9139024605963,472.2274008343516,29.840279436234844,2.545286270175052,471.7147601342695,65.60058232832588,117.05242186036081,13.501466592373166,0.7240503499533985
20,945.2061318904045,470.5404785152169,25.873203958025208,6.428209744172327,469.92813994812474,64.56932748756341,118.08148866572984,13.980221879485047,0.6604996597545558
21,947.2037213346986,474.23298405585314,20.57786200681515,7.728836605383423,473.53253310490794,61.69996621798714,122.86996137414994,17.758475124825086,0.6762825455195017
22,944.8009830653382,474.8878969893048,21.355866024419054,1.9719750814530044,470.93216951959704,58.293533683613454,119.23288138218061,13.115144283189885,0.8238948546327953
23,946.4654003162534,472.57656329695976,28.31793267947734,3.126707884099773,475.27240664930025,61.080906801260994,121.79997817860331,15.809095041356713,0.7892100905829895
